"win_chance","craver","betting_rate","se","alpha","beta","K","lmbda","n"
0.2,0,0.0797916666666667,0.00276572409571985,1,10,0.05,1,0
0.2,1,0.123402777777778,0.00274091991928336,1,10,0.05,1,0
0.8,0,0.835885416666667,0.00189010967071322,1,10,0.05,1,0
0.8,1,0.84234375,0.0015184231040779,1,10,0.05,1,0
0.2,0,0.0788541666666667,0.00275082855176728,1,10,0.05,1,1
0.2,1,0.125347222222222,0.00275936423578347,1,10,0.05,1,1
0.8,0,0.835260416666667,0.00189299721324345,1,10,0.05,1,1
0.8,1,0.844965277777778,0.00150808717751207,1,10,0.05,1,1
0.2,0,0.0792708333333333,0.00275746282683492,1,10,0.05,1,3
0.2,1,0.123819444444444,0.00274489075940286,1,10,0.05,1,3
0.8,0,0.835703125,0.00189095288181671,1,10,0.05,1,3
0.8,1,0.844496527777778,0.00150994631922001,1,10,0.05,1,3
0.2,0,0.0771875,0.00272406349285216,1,10,0.05,1,4
0.2,1,0.126597222222222,0.00277110643489595,1,10,0.05,1,4
0.8,0,0.837447916666667,0.00188284780328712,1,10,0.05,1,4
0.8,1,0.845572916666667,0.00150566999153649,1,10,0.05,1,4
0.2,0,0.0821875,0.00280328254828148,1,10,0.1,1,0
0.2,1,0.175277777777778,0.00316848103358957,1,10,0.1,1,0
0.8,0,0.832760416666667,0.00190445018880086,1,10,0.1,1,0
0.8,1,0.851579861111111,0.00148132937901361,1,10,0.1,1,0
0.2,0,0.0730208333333333,0.00265549436081235,1,10,0.1,1,1
0.2,1,0.167083333333333,0.00310886007675523,1,10,0.1,1,1
0.8,0,0.837916666666667,0.00188065718276113,1,10,0.1,1,1
0.8,1,0.848993055555556,0.00149191148464601,1,10,0.1,1,1
0.2,0,0.0741666666666667,0.00267459353751519,1,10,0.1,1,3
0.2,1,0.169375,0.00312579856454122,1,10,0.1,1,3
0.8,0,0.834791666666667,0.00189515646031593,1,10,0.1,1,3
0.8,1,0.853298611111111,0.00147421274123734,1,10,0.1,1,3
0.2,0,0.0748958333333333,0.00268665036129259,1,10,0.1,1,4
0.2,1,0.171458333333333,0.0031410171659822,1,10,0.1,1,4
0.8,0,0.8359375,0.00188986860004728,1,10,0.1,1,4
0.8,1,0.85140625,0.0014820444067407,1,10,0.1,1,4
0.2,0,0.0827083333333333,0.00281135288895055,1,10,0.2,1,0
